Hub-Height=100  Timezone=0   ASL-Height(avg. 3km-grid)=0 

 
YYYYMMDD HHMM  M(m/s) D(deg)  T(C)  De(k/m3) PRE(hPa)      RiNumber  RH(%)
20180613 2200    8.3    201   15.9    1.20     995.1           0.12   77.6
20180613 2300   11.5    204   15.3    1.20     994.1           0.07   78.3
20180614 0000   14.5    205   14.4    1.20     993.0           0.05   79.6
20180614 0100   17.1    206   13.7    1.20     991.3           0.03   81.4
20180614 0200   19.0    207   13.4    1.20     990.0           0.03   83.1
20180614 0300   19.0    208   13.4    1.20     989.0           0.04   84.3
20180614 0400   19.7    209   13.7    1.20     987.8           0.04   85.1
20180614 0500   20.3    210   14.0    1.20     986.8           0.04   85.6
20180614 0600   18.7    210   14.5    1.19     986.2           0.02   85.5
20180614 0700   18.0    215   15.5    1.19     986.0          -0.02   83.5
20180614 0800   19.6    225   16.6    1.19     986.6          -0.05   77.8
20180614 0900   19.9    232   16.5    1.19     987.5          -0.09   72.2
20180614 1000   19.0    238   16.3    1.19     988.5          -0.15   68.7
20180614 1100   17.5    248   16.0    1.19     989.6          -0.20   65.6
20180614 1200   16.7    258   15.6    1.20     990.8          -0.24   63.2
20180614 1300   15.1    265   15.3    1.20     992.6          -0.25   61.2
20180614 1400   13.6    266   15.2    1.20     993.9          -0.25   59.9
20180614 1500   13.4    263   15.2    1.20     994.9          -0.27   60.1
20180614 1600   13.3    262   15.2    1.20     995.8          -0.23   60.4
20180614 1700   12.8    261   15.1    1.21     996.9          -0.17   61.1
20180614 1800   12.0    261   15.0    1.21     998.0          -0.08   62.0
20180614 1900   10.8    259   14.8    1.21     998.6           0.05   63.3
20180614 2000    9.4    254   14.5    1.21     999.1           0.11   64.4
20180614 2100    8.6    247   14.0    1.21     999.6           0.18   66.2
20180614 2200    8.3    238   13.4    1.22    1000.0           0.22   69.2
20180614 2300    8.7    232   12.9    1.22    1000.5           0.25   72.5
20180615 0000    9.4    228   12.3    1.22    1001.0           0.28   75.2
20180615 0100    9.5    225   11.8    1.22    1001.2           0.26   77.3
20180615 0200    9.5    223   11.4    1.23    1001.4           0.26   79.6
20180615 0300    9.3    223   10.9    1.23    1001.5           0.27   82.0
20180615 0400    9.2    223   10.6    1.23    1001.6           0.29   83.9
20180615 0500    8.8    222   10.4    1.23    1001.7           0.27   85.2
20180615 0600    7.7    222   10.5    1.23    1001.8           0.12   85.4
20180615 0700    6.9    225   11.5    1.23    1002.0          -0.36   82.0
20180615 0800    7.0    227   12.5    1.22    1002.1          -1.23   75.8
20180615 0900    7.3    234   13.3    1.22    1002.1          -1.79   71.2
20180615 1000    7.6    237   13.9    1.22    1002.1          -2.10   66.6
20180615 1100    8.0    236   14.5    1.21    1002.1          -1.97   62.6
20180615 1200    8.5    236   14.9    1.21    1002.2          -2.10   59.2
20180615 1300    8.8    237   15.2    1.21    1002.0          -2.08   56.9
20180615 1400    8.7    238   15.3    1.21    1001.9          -1.99   55.5
20180615 1500    8.2    239   15.4    1.21    1001.9          -1.98   55.4
20180615 1600    7.8    242   15.4    1.21    1001.8          -2.00   56.7
20180615 1700    7.4    244   15.3    1.21    1001.9          -1.49   56.4
20180615 1800    7.0    246   15.1    1.21    1002.0          -0.84   55.8
20180615 1900    6.3    247   14.8    1.21    1002.0          -0.12   55.7
20180615 2000    5.7    249   14.4    1.21    1002.0           0.22   60.5
20180615 2100    5.1    245   13.9    1.22    1001.9           0.34   60.2
20180615 2200    5.1    247   13.6    1.22    1002.0           0.46   61.7
20180615 2300    4.7    252   13.0    1.22    1002.0           0.74   64.4
20180616 0000    4.3    228   12.0    1.22    1002.1           1.08   71.9
20180616 0100    4.0    223   11.8    1.23    1001.8           1.34   71.5
20180616 0200    3.9    222   11.5    1.23    1001.6           1.84   71.1
20180616 0300    4.2    218   11.2    1.23    1001.4           1.70   69.8
20180616 0400    4.6    213   11.2    1.23    1001.1           1.37   68.0
20180616 0500    5.0    210   11.2    1.23    1000.8           1.88   66.5
20180616 0600    5.3    205   11.4    1.23    1000.4           2.62   64.8
20180616 0700    3.7    196   11.6    1.22    1000.1           0.51   69.0
20180616 0800    5.0    189   12.9    1.22     999.7          -1.17   65.7
20180616 0900    5.7    196   13.3    1.22     999.2          -1.34   66.9
20180616 1000    6.4    196   14.2    1.21     998.6          -1.58   64.2
20180616 1100    7.7    199   15.0    1.21     998.0          -1.31   64.5
20180616 1200    8.5    201   15.8    1.20     997.4          -1.09   64.0
20180616 1300    9.4    207   16.4    1.20     996.7          -1.01   63.6
20180616 1400   10.1    213   16.8    1.20     996.1          -0.92   64.0
20180616 1500   10.8    221   17.1    1.20     995.7          -0.71   64.1
20180616 1600   11.2    235   17.1    1.20     995.6          -0.60   62.9
20180616 1700   11.0    244   16.7    1.20     995.7          -0.45   60.2
20180616 1800   10.3    250   15.9    1.20     995.9          -0.36   63.7
20180616 1900    9.6    256   15.2    1.20     996.4          -0.09   65.8
20180616 2000    8.6    257   14.5    1.21     996.8           0.06   68.3
20180616 2100    8.3    255   13.9    1.21     997.1           0.26   70.8
20180616 2200    8.3    254   13.4    1.21     997.3           0.28   73.2
20180616 2300    8.0    250   12.7    1.22     997.5           0.32   76.9
20180617 0000    8.4    245   11.8    1.22     997.8           0.46   81.5
20180617 0100    8.0    241   11.2    1.22     998.3           0.49   84.5
20180617 0200    7.9    236   11.0    1.22     998.7           0.47   85.5
20180617 0300    8.2    232   10.9    1.23     998.9           0.50   86.1
20180617 0400    8.2    229   10.6    1.23     999.2           0.50   87.5
20180617 0500    8.4    227   10.5    1.23     999.3           0.48   89.0
20180617 0600    8.1    230   10.6    1.23     999.5           0.36   89.6
20180617 0700    7.0    234   11.3    1.22     999.5           0.21   88.1
20180617 0800    6.2    236   12.8    1.22     999.5          -1.57   82.7
20180617 0900    6.1    236   13.8    1.21     999.5          -1.55   78.1
20180617 1000    6.2    243   14.9    1.21     999.4          -1.83   72.3
20180617 1100    6.7    239   15.7    1.21     999.3          -2.61   67.4
20180617 1200    7.2    232   16.3    1.20     999.3          -2.60   64.5
20180617 1300    7.4    231   16.9    1.20     999.2          -2.22   63.7
20180617 1400    7.6    228   17.3    1.20     999.0          -2.18   63.4
20180617 1500    7.9    225   17.5    1.20     999.0          -1.76   62.7
